Master SKU,Channel SKU,Product Name,Brand,Category,Cost Price,Selling Price
CIQ-AUD-0001,AMZ-00001,TWS Earbuds Black 001,boAt,Audio,370,760
CIQ-WEA-0002,AMZ-00002,Fitness Band Grey 002,Noise,Wearables,1950,3320
CIQ-ACC-0003,AMZ-00003,Phone Stand Black 003,Acme,Accessories,80,210
CIQ-TRA-0004,AMZ-00004,Organizer Pouch Grey 004,Acme Gear,Travel,1200,1950
CIQ-HOM-0005,AMZ-00005,Desk Lamp Black 005,Acme Home,Home,1320,2330
CIQ-MOB-0006,AMZ-00006,Wireless Charger Grey 006,Acme Mobile,Mobile,660,1610
CIQ-AUD-0007,AMZ-00007,Neckband Black 007,boAt,Audio,1430,3050
CIQ-WEA-0008,AMZ-00008,Kids Tracker Grey 008,Noise,Wearables,1780,2960
CIQ-ACC-0009,AMZ-00009,USB-C Cable Black 009,Acme,Accessories,620,1070
CIQ-TRA-0010,AMZ-00010,Laptop Sleeve Grey 010,Acme Gear,Travel,1410,2890
CIQ-HOM-0011,AMZ-00011,Air Purifier Mini Black 011,Acme Home,Home,1260,2460
CIQ-MOB-0012,AMZ-00012,Screen Protector Grey 012,Acme Mobile,Mobile,450,1140
CIQ-AUD-0013,AMZ-00013,TWS Earbuds Black 013,boAt,Audio,1190,2230
CIQ-WEA-0014,AMZ-00014,Fitness Band Grey 014,Noise,Wearables,1960,3480
CIQ-ACC-0015,AMZ-00015,Phone Stand Black 015,Acme,Accessories,410,670
CIQ-TRA-0016,AMZ-00016,Organizer Pouch Grey 016,Acme Gear,Travel,790,1330
CIQ-HOM-0017,AMZ-00017,Desk Lamp Black 017,Acme Home,Home,930,2190
CIQ-MOB-0018,AMZ-00018,Wireless Charger Grey 018,Acme Mobile,Mobile,810,1640
CIQ-AUD-0019,AMZ-00019,Neckband Black 019,boAt,Audio,870,2090
CIQ-WEA-0020,AMZ-00020,Kids Tracker Grey 020,Noise,Wearables,790,1460
CIQ-ACC-0021,AMZ-00021,USB-C Cable Black 021,Acme,Accessories,740,1210
CIQ-TRA-0022,AMZ-00022,Laptop Sleeve Grey 022,Acme Gear,Travel,1470,3200
CIQ-HOM-0023,AMZ-00023,Air Purifier Mini Black 023,Acme Home,Home,2040,4150
CIQ-MOB-0024,AMZ-00024,Screen Protector Grey 024,Acme Mobile,Mobile,630,1480
CIQ-AUD-0025,AMZ-00025,TWS Earbuds Black 025,boAt,Audio,730,1470
CIQ-WEA-0026,AMZ-00026,Fitness Band Grey 026,Noise,Wearables,600,1380
CIQ-ACC-0027,AMZ-00027,Phone Stand Black 027,Acme,Accessories,280,570
CIQ-TRA-0028,AMZ-00028,Organizer Pouch Grey 028,Acme Gear,Travel,1100,1900
CIQ-HOM-0029,AMZ-00029,Desk Lamp Black 029,Acme Home,Home,940,2070
CIQ-MOB-0030,AMZ-00030,Wireless Charger Grey 030,Acme Mobile,Mobile,880,1520
CIQ-AUD-0031,AMZ-00031,Neckband Black 031,boAt,Audio,900,1910
CIQ-WEA-0032,AMZ-00032,Kids Tracker Grey 032,Noise,Wearables,1920,4270
CIQ-ACC-0033,AMZ-00033,USB-C Cable Black 033,Acme,Accessories,210,500
CIQ-TRA-0034,AMZ-00034,Laptop Sleeve Grey 034,Acme Gear,Travel,1290,3010
CIQ-HOM-0035,AMZ-00035,Air Purifier Mini Black 035,Acme Home,Home,2140,3770
CIQ-MOB-0036,AMZ-00036,Screen Protector Grey 036,Acme Mobile,Mobile,330,610
CIQ-AUD-0037,AMZ-00037,TWS Earbuds Black 037,boAt,Audio,850,1490
CIQ-WEA-0038,AMZ-00038,Fitness Band Grey 038,Noise,Wearables,1520,3110
CIQ-ACC-0039,AMZ-00039,Phone Stand Black 039,Acme,Accessories,220,520
CIQ-TRA-0040,AMZ-00040,Organizer Pouch Grey 040,Acme Gear,Travel,700,1720
CIQ-HOM-0041,AMZ-00041,Desk Lamp Black 041,Acme Home,Home,780,1590
CIQ-MOB-0042,AMZ-00042,Wireless Charger Grey 042,Acme Mobile,Mobile,750,1460
CIQ-AUD-0043,AMZ-00043,Neckband Black 043,boAt,Audio,490,920
CIQ-WEA-0044,AMZ-00044,Kids Tracker Grey 044,Noise,Wearables,2120,4130
CIQ-ACC-0045,AMZ-00045,USB-C Cable Black 045,Acme,Accessories,150,340
CIQ-TRA-0046,AMZ-00046,Laptop Sleeve Grey 046,Acme Gear,Travel,1020,2630
CIQ-HOM-0047,AMZ-00047,Air Purifier Mini Black 047,Acme Home,Home,900,2080
CIQ-MOB-0048,AMZ-00048,Screen Protector Grey 048,Acme Mobile,Mobile,780,1640
CIQ-AUD-0049,AMZ-00049,TWS Earbuds Black 049,boAt,Audio,1080,2480
CIQ-WEA-0050,AMZ-00050,Fitness Band Grey 050,Noise,Wearables,1400,3560
CIQ-ACC-0051,AMZ-00051,Phone Stand Black 051,Acme,Accessories,360,790
CIQ-TRA-0052,AMZ-00052,Organizer Pouch Grey 052,Acme Gear,Travel,650,1200
CIQ-HOM-0053,AMZ-00053,Desk Lamp Black 053,Acme Home,Home,460,810
CIQ-MOB-0054,AMZ-00054,Wireless Charger Grey 054,Acme Mobile,Mobile,700,1290
CIQ-AUD-0055,AMZ-00055,Neckband Black 055,boAt,Audio,1060,1840
CIQ-WEA-0056,AMZ-00056,Kids Tracker Grey 056,Noise,Wearables,1180,2800
CIQ-ACC-0057,AMZ-00057,USB-C Cable Black 057,Acme,Accessories,240,600
CIQ-TRA-0058,AMZ-00058,Laptop Sleeve Grey 058,Acme Gear,Travel,530,960
CIQ-HOM-0059,AMZ-00059,Air Purifier Mini Black 059,Acme Home,Home,1410,3370
CIQ-MOB-0060,AMZ-00060,Screen Protector Grey 060,Acme Mobile,Mobile,850,1700
CIQ-AUD-0061,AMZ-00061,TWS Earbuds Black 061,boAt,Audio,1300,2380
CIQ-WEA-0062,AMZ-00062,Fitness Band Grey 062,Noise,Wearables,710,1450
CIQ-ACC-0063,AMZ-00063,Phone Stand Black 063,Acme,Accessories,120,270
CIQ-TRA-0064,AMZ-00064,Organizer Pouch Grey 064,Acme Gear,Travel,730,1380
CIQ-HOM-0065,AMZ-00065,Desk Lamp Black 065,Acme Home,Home,810,2010
CIQ-MOB-0066,AMZ-00066,Wireless Charger Grey 066,Acme Mobile,Mobile,400,970
CIQ-AUD-0067,AMZ-00067,Neckband Black 067,boAt,Audio,980,1640
